  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
============================================================================
   1    3    0  100.00 100.00     4      4    4      0      3     3   100.00
   2    3    0  100.00 100.00     4      4    4      0      3     3   100.00
   3    5    0   85.71  85.71     6      7    7      0      5     3    60.00
   4    3    0  100.00 100.00     4      4    4      0      3     3   100.00
   5    4    0  100.00 100.00     5      5    5      0      4     4   100.00
   6    2    0  100.00 100.00     3      3    3      0      2     2   100.00
   7    2    0  100.00 100.00     3      3    3      0      2     2   100.00
   8    3    0  100.00 100.00     4      4    4      0      3     3   100.00
   9    3    0  100.00 100.00     4      4    4      0      3     3   100.00
  10    3    0  100.00 100.00     4      4    4      0      3     3   100.00
  11    2    0  100.00 100.00     3      3    3      0      2     2   100.00
  12    4    0   60.00  60.00     3      5    5      0      4     2    50.00
  13    2    0   66.67  66.67     2      3    3      0      2     1    50.00
  14    2    0  100.00 100.00     3      3    3      0      2     2   100.00
  15    2    0   66.67  66.67     2      3    3      0      2     1    50.00
  16    2    0  100.00 100.00     3      3    3      0      2     2   100.00
  17    2    0  100.00 100.00     3      3    3      0      2     2   100.00
  18    2    0  100.00 100.00     3      3    3      0      2     2   100.00
  19    3    0  100.00 100.00     4      4    4      0      3     3   100.00
  20    2    0  100.00 100.00     3      3    3      0      2     2   100.00
  21    2    0  100.00 100.00     3      3    3      0      2     2   100.00
  22    2    0  100.00 100.00     3      3    3      0      2     2   100.00
  23    3    0  100.00 100.00     4      4    4      0      3     3   100.00
  24    2    0  100.00 100.00     3      3    3      0      2     2   100.00
  25    4    0   80.00  80.00     4      5    5      0      4     2    50.00
  26    3    0  100.00 100.00     4      4    4      0      3     3   100.00
  27    3    0  100.00 100.00     4      4    4      0      3     3   100.00
  28    2    0  100.00 100.00     3      3    3      0      2     2   100.00
  29    3    0  100.00 100.00     4      4    4      0      3     3   100.00
  30    3    0  100.00 100.00     4      4    4      0      3     3   100.00
  31    5    0  100.00 100.00     6      6    6      0      5     5   100.00
  32    2    0  100.00 100.00     3      3    3      0      2     2   100.00
  33    2    0  100.00 100.00     3      3    3      0      2     2   100.00
  34    3    0  100.00 100.00     4      4    4      0      3     3   100.00
  35    3    0  100.00 100.00     4      4    4      0      3     3   100.00
  36    3    0  100.00 100.00     4      4    4      0      3     3   100.00
  37    3    0  100.00 100.00     4      4    4      0      3     3   100.00
  38    3    0  100.00 100.00     4      4    4      0      3     3   100.00
  39    2    0   66.67  66.67     2      3    3      0      2     1    50.00
  40    2    0  100.00 100.00     3      3    3      0      2     2   100.00
  41    2    0  100.00 100.00     3      3    3      0      2     2   100.00
  42    2    0  100.00 100.00     3      3    3      0      2     2   100.00
  43    3    0  100.00 100.00     4      4    4      0      3     3   100.00
  44    4    0  100.00 100.00     5      5    5      0      4     4   100.00
  45    3    0  100.00 100.00     4      4    4      0      3     3   100.00
  46    3    0  100.00 100.00     4      4    4      0      3     3   100.00
  47    4    0  100.00 100.00     5      5    5      0      4     4   100.00
  48    3    0  100.00 100.00     4      4    4      0      3     3   100.00
  49    3    0  100.00 100.00     4      4    4      0      3     3   100.00
  50    4    0  100.00 100.00     5      5    5      0      4     4   100.00
  51    4    0  100.00 100.00     5      5    5      0      4     4   100.00
  52    3    0  100.00 100.00     4      4    4      0      3     3   100.00
  53    3    0   75.00  75.00     3      4    4      0      3     2    66.67
  54    2    0  100.00 100.00     3      3    3      0      2     2   100.00
  55    4    0  100.00 100.00     5      5    5      0      4     4   100.00
  56    3    0  100.00 100.00     4      4    4      0      3     3   100.00
  57    3    0   33.33  25.00     1      3    4      1      3     2    66.67
  58    3    0  100.00 100.00     4      4    4      0      3     3   100.00
  59    2    0  100.00 100.00     3      3    3      0      2     2   100.00
  60    2    0  100.00 100.00     3      3    3      0      2     2   100.00
  61    2    0  100.00 100.00     3      3    3      0      2     2   100.00
  62    3    0  100.00 100.00     4      4    4      0      3     3   100.00
  63    6    0   75.00  75.00     6      8    8      1      6     5    83.33
  64    3    0  100.00 100.00     4      4    4      0      3     3   100.00
  65    3    0  100.00 100.00     4      4    4      0      3     3   100.00
  66    2    0  100.00 100.00     3      3    3      0      2     2   100.00
  67    3    0  100.00 100.00     4      4    4      0      3     3   100.00
  68    3    0  100.00 100.00     4      4    4      0      3     3   100.00
  69    3    0  100.00 100.00     4      4    4      0      3     2    66.67
  70    2    0  100.00 100.00     3      3    3      0      2     2   100.00
  71    2    0   66.67  66.67     2      3    3      0      2     1    50.00
  72    2    0  100.00 100.00     3      3    3      0      2     2   100.00
  73    2    0  100.00 100.00     3      3    3      0      2     2   100.00
  74    4    0  100.00 100.00     5      5    5      0      4     4   100.00
  75    2    0  100.00 100.00     3      3    3      0      2     2   100.00
  76    5    0  100.00 100.00     6      6    6      0      5     5   100.00
  77    2    0  100.00 100.00     3      3    3      0      2     2   100.00
  78    3    0  100.00 100.00     4      4    4      0      3     3   100.00
  79    2    0  100.00 100.00     3      3    3      0      2     2   100.00
  80    3    0  100.00 100.00     4      4    4      0      3     3   100.00
  81    4    0  100.00 100.00     5      5    5      0      4     4   100.00
  82    2    0  100.00 100.00     3      3    3      0      2     2   100.00
  83    2    0  100.00 100.00     3      3    3      0      2     2   100.00
  84    3    0  100.00 100.00     4      4    4      0      3     3   100.00
  85    4    0  100.00 100.00     5      5    5      0      4     4   100.00
  86    2    0   66.67  66.67     2      3    3      0      2     1    50.00
  87    3    0  100.00 100.00     4      4    4      0      3     3   100.00
  88    2    0   66.67  66.67     2      3    3      0      2     1    50.00
  89    2    0  100.00 100.00     3      3    3      0      2     2   100.00
  90    3    0   75.00  75.00     3      4    4      0      3     1    33.33
  91    4    0  100.00 100.00     5      5    5      0      4     4   100.00
  92    4    0  100.00 100.00     5      5    5      0      4     4   100.00
  93    3    0   75.00  75.00     3      4    4      0      3     2    66.67
  94    3    0  100.00 100.00     4      4    4      0      3     3   100.00
  95    2    0  100.00 100.00     3      3    3      0      2     2   100.00
  96    2    0  100.00 100.00     3      3    3      0      2     2   100.00
  97    2    0  100.00 100.00     3      3    3      0      2     2   100.00
  98    2    0  100.00 100.00     3      3    3      0      2     2   100.00
  99    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 100    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 101    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 102    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 103    4    0  100.00 100.00     6      6    6      0      4     4   100.00
 104    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 105    4    0   80.00  80.00     4      5    5      0      4     2    50.00
 106    4    0  100.00 100.00     5      5    5      0      4     4   100.00
 107    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 108    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 109    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 110    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 111    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 112    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 113    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 114    2    0   66.67  66.67     2      3    3      0      2     1    50.00
 115    4    0  100.00 100.00     5      5    5      0      4     4   100.00
 116    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 117    3    0  100.00 100.00     4      4    4      0      3     2    66.67
